vehicle,level_1,datetime,speed,x,y,heading,vehicletype,time_interval,distance,heading_interval,trip
49A04047,1,4/27/2018 9:41,20,106.66565,10.771258,338.1118509,700,30,53.03869056,1.142753848,14
49A04047,2,4/27/2018 9:41,15,106.66547,10.771701,338.1118509,700,10,37.18066415,7.073753275,14
49A04047,0,4/27/2018 9:43,16,106.66549,10.771527,158.1751816,700,10,209.7878447,0.539947331,15
49A04047,1,4/27/2018 9:44,18,106.6662,10.769774,158.142961,700,40,59.01226209,0.03222057,15
49A04047,2,4/27/2018 9:44,12,106.6664,10.769281,158.142961,700,10,194.359394,4.290759057,15
49A04047,0,4/27/2018 9:45,12,106.66718,10.76771,73.12198619,700,70,39.9760072,80.73021576,16
49A04047,1,4/27/2018 9:45,31,106.66753,10.767815,80.07487408,700,10,69.87856296,6.952887892,16
49A04047,2,4/27/2018 9:45,23,106.66816,10.767924,90.21453752,700,10,88.48272654,10.13966344,16
49A04047,3,4/27/2018 9:46,8,106.66897,10.767921,90.21453752,700,10,55.18835006,12.23422541,16
49A04047,0,4/27/2018 10:02,38,106.669655,10.7678995,92.48687013,700,10,174.3997113,31.11806215,17
49A04047,1,4/27/2018 10:02,5,106.67125,10.767831,91.65512759,700,40,7.649836646,0.831742537,17
49A04047,2,4/27/2018 10:03,13,106.67132,10.767829,91.65512759,700,10,0,0,17
50LD10138,0,4/27/2018 0:02,13.2,106.66461,10.76645,62.48252405,200,3,257.1705198,14.09848371,18
50LD10138,1,4/27/2018 0:03,21.467,106.666695,10.767524,80.43230605,200,45,3.323946124,17.949782,18
50LD10138,2,4/27/2018 0:03,4.8,106.666725,10.767529,80.43230605,200,3,20.87498836,7.748002646,18
50LD10138,0,4/27/2018 0:04,7.2,106.667046,10.767689,60.42015224,200,12,218.7784679,20.56885967,19
50LD10138,1,4/27/2018 0:04,26.28,106.668785,10.768665,60.71059183,200,30,196.3195672,0.290439595,19
50LD10138,2,4/27/2018 0:05,28.345,106.67035,10.769533,59.28253317,200,25,10.18241886,1.428058656,19
50LD10138,3,4/27/2018 0:05,8.4,106.67043,10.76958,59.61006271,200,18,122.2805935,0.327529533,19
50LD10138,4,4/27/2018 0:06,15.155,106.671394,10.770139,59.61006271,200,29,112.3308849,5.403077785,19
50LD10138,0,4/27/2018 0:58,18.798,106.672325,10.770568,210.823406,200,3155,7.497401711,145.8102655,20
50LD10138,1,4/27/2018 0:58,4.103,106.67229,10.77051,239.9756705,200,7,8.846042285,29.15226451,20
50LD10138,2,4/27/2018 0:58,10.8,106.67222,10.77047,240.8630589,200,3,79.53705027,0.887388383,20
50LD10138,3,4/27/2018 0:59,3.234,106.671585,10.77012,234.2769074,200,29,6.068325333,6.586151464,20
50LD10138,4,4/27/2018 0:59,7.2,106.67154,10.770088,237.3304083,200,3,61.10576092,3.053500881,20
50LD10138,5,4/27/2018 1:00,9.6,106.67107,10.76979,237.3304083,200,59,89.90644996,8.487674524,20
50LD10138,0,4/27/2018 1:00,18.283,106.67032,10.769457,243.2023362,200,17,211.5078756,2.615746602,21
50LD10138,1,4/27/2018 1:01,22.484,106.668594,10.768595,245.6531261,200,48,107.3096179,2.450789912,21
50LD10138,2,4/27/2018 1:01,17.493,106.6677,10.768195,236.7348514,200,22,72.64987491,8.918274689,21
50LD10138,3,4/27/2018 1:02,9.6,106.667145,10.767835,243.5965923,200,40,6.716414304,6.861740823,21
50LD10138,4,4/27/2018 1:02,8.4,106.66709,10.767808,240.3850079,200,3,122.7056174,3.211584316,21
50LD10138,5,4/27/2018 1:03,14.76,106.666115,10.76726,240.080967,200,30,44.81459632,0.304040937,21
50LD10138,6,4/27/2018 1:03,13.5,106.66576,10.767058,246.4594036,200,12,7.753053455,6.378436624,21
50LD10138,7,4/27/2018 1:03,5.455,106.665695,10.76703,237.6584992,200,5,14.89659182,8.800904419,21
50LD10138,8,4/27/2018 1:03,9,106.66558,10.766958,237.6584992,200,6,65.72465946,2.127525206,21
50LD10138,0,4/27/2018 2:01,29.639,106.66531,10.7668085,62.1916691,200,5,486.0413167,2.39733639,22
50LD10138,1,4/27/2018 2:02,30.186,106.66924,10.768858,60.80283543,200,55,147.8890261,1.388833677,22
50LD10138,2,4/27/2018 2:02,19.015,106.67042,10.76951,56.6050761,200,28,17.69806849,4.197759327,22
50LD10138,3,4/27/2018 2:03,9.6,106.670555,10.769598,61.34301257,200,11,100.3607033,4.737936475,22
50LD10138,4,4/27/2018 2:03,13.467,106.67136,10.770033,52.96088458,200,27,8.916233213,8.382127996,22
50LD10138,5,4/27/2018 2:03,10.8,106.671425,10.7700815,58.04954214,200,3,3.869240717,5.088657559,22
50LD10138,6,4/27/2018 2:03,14.118,106.671455,10.7701,51.81112589,200,1,6.269753081,6.238416247,22
50LD10138,7,4/27/2018 2:03,12.727,106.6715,10.770135,56.49627363,200,2,108.2914672,4.685147737,22
50LD10138,8,4/27/2018 2:04,19.8,106.672325,10.770675,63.25923831,200,21,33.68180851,6.762964684,22
50LD10138,9,4/27/2018 2:04,14.4,106.6726,10.770812,63.25923831,200,9,14.70850127,0.083957671,22
