vehicle,level_1,datetime,speed,x,y,heading,vehicletype,time_interval,distance,heading_interval,trip,ts
50LD10191,0,2018-04-27 09:38:24,27.081,106.665855,10.767014,240.99189915192431,200,79,36.27856724138471,0.9904677055474167,17,1524821904
50LD10191,1,2018-04-27 09:38:39,8.88,106.665565,10.766855,233.9391747507708,200,15,16.929320736229847,7.052724401153512,17,1524821919
50LD10191,2,2018-04-27 09:38:48,6.4,106.66544,10.766765,225.5073254653498,200,9,5.376888007379511,8.43184928542101,17,1524821928
50LD10191,3,2018-04-27 09:38:52,5.373,106.665405,10.766731,240.2465275457211,200,4,14.493148374390245,14.739202080371314,17,1524821932
50LD10191,4,2018-04-27 09:39:01,6.0,106.66529,10.766666,240.2465275457211,200,9,8.98911024857399,1.797635623142071,17,1524821941
50LD10202,0,2018-04-27 04:22:06,5.0,106.668106,10.768187,57.235299359624165,200,80,12.885138980879509,5.629237569784465,18,1524802926
50LD10202,1,2018-04-27 04:22:36,3.0,106.668205,10.76825,61.06312340151125,200,30,9.375823499113508,3.8278240418870837,18,1524802956
50LD10202,2,2018-04-27 04:22:46,1.0,106.66828,10.768291,61.2324645568964,200,10,8.736387838050307,0.1693411553851547,18,1524802966
50LD10202,3,2018-04-27 04:23:16,2.0,106.66835,10.768329,61.71167222137971,200,30,34.78542760889222,0.47920766448330454,18,1524802996
50LD10202,4,2018-04-27 04:23:56,2.0,106.66863,10.768478,64.44791999477393,200,40,13.334878660894285,2.7362477733942185,18,1524803036
50LD10202,5,2018-04-27 04:24:16,4.0,106.66874,10.76853,67.97473883634362,200,20,7.076694876789406,3.5268188415696926,18,1524803056
50LD10202,6,2018-04-27 04:24:36,2.0,106.6688,10.768554,71.8049220281786,200,20,4.602380271635705,3.8301831918349762,18,1524803076
50LD10202,7,2018-04-27 04:25:06,5.0,106.66884,10.768567,56.42787179974096,200,30,21.018897902999765,15.377050228437632,18,1524803106
50LD10202,8,2018-04-27 04:25:16,6.0,106.669,10.768672,54.090722375783585,200,10,33.79288594495324,2.337149423957378,18,1524803116
50LD10202,9,2018-04-27 04:25:46,3.0,106.66925,10.768851,54.090722375783585,200,30,29.497968898934378,4.475709858070964,18,1524803146
50LD10202,0,2018-04-27 08:12:25,15.0,106.67232,10.770576,242.2499713696691,200,10,67.24225950540517,4.431633082293018,19,1524816745
50LD10202,1,2018-04-27 08:12:45,17.0,106.671776,10.770293,247.60674800443542,200,20,25.543601696664105,5.356776634766305,19,1524816765
50LD10202,2,2018-04-27 08:12:55,1.0,106.67156,10.770205,240.18297237766222,200,10,3.783201656618668,7.4237756267731925,19,1524816775
50LD10202,3,2018-04-27 08:13:25,3.0,106.67153,10.770188,234.28714325236348,200,30,22.382479223136194,5.8958291252987465,19,1524816805
50LD10202,4,2018-04-27 08:13:35,5.0,106.671364,10.77007,234.28714325236348,200,10,52.28617219531177,5.748596921072675,19,1524816815
50LD10203,0,2018-04-27 07:55:33,20.814,106.671555,10.770126,227.980408575815,200,5141,8.110663412726181,138.55986077310817,20,1524815733
50LD10203,1,2018-04-27 07:55:36,9.6,106.6715,10.770077,226.55947899660146,200,3,16.599930253007948,1.4209295792135492,20,1524815736
50LD10203,2,2018-04-27 07:55:42,10.2,106.67139,10.769974,252.5927961309127,200,6,11.454609969896303,26.033317134311233,20,1524815742
