y,x,ts,trip
10.767748,106.66711,1524830894,14662
10.767747,106.66712,1524830895,14662
10.767868,106.667625,1524830910,14662
10.767908,106.668,1524830915,14662
10.767908,106.66807,1524830916,14662
10.767888,106.66965,1524830936,14663
10.767841,106.67054,1524830946,14663
10.767841,106.67054,1524830948,14663
10.767823,106.67128,1524830956,14663
10.767814,106.67138,1524830982,14663
10.76778,106.67237,1524831001,14663
10.767811,106.672325,1524787590,14664
10.767823,106.67183,1524787620,14664
10.767832,106.67165,1524787630,14664
10.767887,106.67047,1524787650,14664
10.767949,106.66914,1524787670,14664
10.768027,106.6683,1524787680,14664
10.7681875,106.667915,1524787690,14664
10.769003,106.66657,1524787740,14665
10.769325,106.66641,1524787750,14665
10.771511,106.66975,1524788300,14666
10.770364,106.67031,1524788330,14666
10.770192,106.6704,1524788350,14666
10.769907,106.670715,1524788420,14666
10.76985,106.67106,1524834720,14667
10.769665,106.67071,1524834730,14667
10.769027,106.669556,1524834750,14667
10.76806,106.66778,1524834780,14668
10.76773,106.66715,1524834790,14668
10.7673645,106.66647,1524834800,14668
10.76754,106.66719,1524835370,14669
10.768755,106.666664,1524835400,14669
10.7691765,106.66647,1524835410,14669
10.7659,106.6676,1524833500,14673
10.7671,106.6674,1524833521,14673
10.767471,106.66694,1524788900,14678
10.768719,106.66667,1524788930,14678
10.769253,106.66642,1524788950,14678
10.770281,106.666016,1524788970,14678
10.770848,106.6658,1524788980,14678
10.7720995,106.66524,1524789420,14679
10.771336,106.66553,1524789450,14679
10.769817,106.666115,1524789470,14680
10.768819,106.66657,1524789500,14680
10.767495,106.66658,1524789530,14680
10.7686405,106.66885,1524862150,14683
10.769207,106.66992,1524862160,14683
10.766549,106.66505,1524835800,14685
10.766986,106.665955,1524835815,14685
10.7687025,106.669205,1524835860,14686
10.769288,106.67024,1524835875,14686
10.767969,106.6675,1524845430,14689
10.767654,106.66717,1524845475,14689
10.7670145,106.667274,1524845490,14689
10.766116,106.66753,1524845505,14689
10.765636,106.66758,1524845535,14689
10.765539,106.66709,1524845550,14689
10.77042,106.666046,1524794744,14690
10.769528,106.66637,1524794784,14690
10.76902,106.66659,1524794805,14690
10.768561,106.6668,1524794814,14690
10.768135,106.66701,1524794824,14690
10.767915,106.6671,1524794874,14690
10.767817,106.667206,1524794884,14690
10.767848,106.66741,1524794895,14690
10.76886,106.669334,1524794935,14691
10.7691,106.66977,1524794944,14691
10.769379,106.67025,1524794955,14691
10.76849,106.666794,1524795240,14695
10.768967,106.66658,1524795250,14695
10.769424,106.66638,1524795260,14695
10.769924,106.666176,1524795270,14695
10.770619,106.66591,1524795280,14695
10.771907,106.665344,1524797780,14696
10.770895,106.66573,1524797800,14696
10.770309,106.66596,1524797810,14696
10.769758,106.666176,1524797820,14696
10.769463,106.66629,1524797830,14696
10.767808,106.66744,1524797910,14697
10.768294,106.668365,1524797940,14697
10.768568,106.66889,1524797950,14697
10.76796,106.66991,1524799230,14700
10.767966,106.66969,1524799240,14700
10.767957,106.66956,1524799250,14700
10.768029,106.66946,1524799260,14700
10.76825,106.66957,1524799310,14700
10.767952,106.669426,1524799350,14700
10.76794,106.66743,1524799420,14701
10.767831,106.667244,1524799440,14701
10.767806,106.671974,1524801920,14703
10.767837,106.67137,1524801930,14703
10.767918,106.66734,1524802050,14705
10.767571,106.66673,1524802090,14705
10.76708,106.6658,1524802160,14705
10.766431,106.66466,1524802230,14705
10.768061,106.66695,1524846970,14707
10.767775,106.66736,1524846980,14707
10.771947,106.67098,1524847350,14709
10.771315,106.66991,1524847380,14709
10.770711,106.670166,1524847400,14709
10.769729,106.67071,1524847450,14709
10.770081,106.67157,1524847470,14709
10.770508,106.67232,1524847480,14709
10.770672,106.6726,1524821674,14710
10.770369,106.67216,1524821704,14710
10.767161,106.66606,1524822004,14715
10.76704,106.66584,1524822014,14715
10.766602,106.66504,1524822094,14716
10.766508,106.66486,1524822144,14716
10.766423,106.66474,1524822154,14716
10.766327,106.6646,1524822164,14716
10.766269,106.664444,1524822174,14716
10.76651,106.66506,1524822834,14717
